"Date","Apple","Huawei","Unknown","Xiaomi","Oppo","Samsung","BBK","Vivo","Mobicel","Hisense","Meizu","Nokia","Google","Coolpad","Lenovo","ZTE","HTC","OnePlus","Sony","Honor","LeEco","Gionee","Realme","Smartisan","White Label","LG","Motorola","K-Touch","RIM","China Mobile","QiKU","Meisu","Alcatel","Asus","Lava","Konka","Redmi","360","Other"
2010-04,6.23,0,0,0,0,2.37,0,0,0,0,0,85.89,0.06,0,0,0,0.02,0,4.05,0,0,0,0,0,0,0.08,0.2,0,0.92,0,0,0,0,0,0,0,0,0,0.19
2010-05,5.91,0,0,0,0,2.39,0,0,0,0,0,86.28,0.08,0,0,0,0.02,0,3.93,0,0,0,0,0,0,0.06,0.17,0,0.95,0,0,0,0,0,0,0,0,0,0.21
2010-06,6.05,0,0,0,0,2.39,0,0,0,0,0,86.77,0.09,0,0,0,0.02,0,3.47,0,0,0,0,0,0,0.07,0.15,0,0.83,0,0,0,0,0,0,0,0,0,0.17
2010-07,6,0,0,0,0,2.52,0,0,0,0,0,86.88,0.1,0,0,0,0.02,0,3.44,0,0,0,0,0,0,0.07,0.16,0,0.63,0,0,0,0,0,0,0,0,0,0.19
2010-08,5.76,0,0,0,0,2.65,0,0,0,0,0,87.36,0.07,0,0,0,0.01,0,3.22,0,0,0,0,0,0,0.08,0.21,0,0.5,0,0,0,0,0,0,0,0,0,0.16
2010-09,5.65,0,0,0,0,2.6,0,0,0,0,0,87.56,0.06,0,0,0,0.01,0,2.97,0,0,0,0,0,0,0.07,0.24,0,0.71,0,0,0,0,0,0,0,0,0,0.13
2010-10,6.68,0,0,0,0,2.6,0,0,0,0,0,86.44,0.06,0,0,0,0.01,0,2.98,0,0,0,0,0,0,0.07,0.29,0,0.74,0,0,0,0,0,0,0,0,0,0.13
2010-11,8.73,0,0,0,0,2.54,0,0,0,0,0,84.4,0.05,0,0,0,0,0,3.07,0,0,0,0,0,0,0.1,0.27,0,0.67,0,0,0,0,0,0,0,0,0,0.16
2010-12,12.61,0,0,0,0,2.75,0,0,0,0,0,80.26,0.09,0,0,0,0,0,2.97,0,0,0,0,0,0,0.1,0.24,0,0.75,0,0,0,0,0,0,0,0,0,0.22
2011-01,14.47,0,0,0,0,2.45,0,0,0,0,0,79.05,0.08,0,0,0,0.01,0,2.65,0,0,0,0,0,0,0.09,0.22,0,0.78,0,0,0,0,0,0,0,0,0,0.2
