"Date","Samsung","Apple","Unknown","Nokia","Xiaomi","Huawei","LG","Oppo","Motorola","Sony","HTC","Lenovo","RIM","Micromax","Vivo","Realme","Mobicel","Asus","Google","General Mobile","BBK","OnePlus","ZTE","Tecno","Alcatel","Infinix","Lava","Gionee","Vodafone","Itel","Turkcell","Wiko","Coolpad","Casper","Lyf","Hisense","Vestel","Spice","AIS","Meizu","bq","QMobile","LeEco","Panasonic","True","Kyocera","Acer","Reliance Digital","Pantech","Honor","InFocus","Intex","Xolo","Nintendo","Smartfren","Blu","Archos","T-Mobile","HP","Infinex","i-Mobile","Condor","Avea","Karbonn","dtac","Sharp","Yu","Symphony","Lanix","Other"
2010-04,2.37,33.15,0,37.58,0,0,0.23,0,0.3,8.3,0.09,0,15.86,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0.67
2010-05,3.27,33.09,0,37.37,0,0,0.08,0,0.12,7.96,0.03,0,16.16,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0.66
2010-06,3.86,30.71,0,38.28,0,0,0.08,0,0.11,7.9,0.03,0,17.23,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0.66
2010-07,3.83,30.09,0,36.78,0,0,0.21,0,0.29,7.9,0.07,0,19.04,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0.71
2010-08,4.07,29.82,0,36.4,0,0,0.22,0,0.35,7.81,0.07,0,19.71,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.63
2010-09,4.53,26.72,0,38.06,0,0,0.18,0,0.4,7.84,0.06,0,20.99,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.51
2010-10,4.68,26.5,0,37.81,0,0,0.16,0,0.42,7.81,0.05,0,21.51,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.45
2010-11,5.59,25.72,0,36.54,0,0,0.15,0,1.37,7.04,0.04,0,22.6,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0.4
2010-12,6.6,28.04,0,34.4,0,0,0.15,0,1.76,6.6,0.04,0,21.48,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.39
2011-01,7.06,30.2,0,35.58,0,0,0.17,0,1.62,6.26,0.09,0,18.15,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0.35
2011-02,7.36,29.83,0,36.36,0,0,0.18,0,1.52,6.23,0.15,0,17.64,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.3
2011-03,7.88,29.76,0,36.51,0,0,0.17,0,1.47,6.16,0.17,0,17.22,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.26
2011-04,8.56,28.6,0,37.88,0,0,0.17,0,1.31,6.1,0.18,0,16.6,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.22
2011-05,9.65,27.63,0,38.39,0,0,0.16,0,1.04,5.99,0.18,0,16.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.19
2011-06,10.77,25.11,0,41.34,0,0,0.16,0,0.92,5.64,0.17,0,15.23,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.15
2011-07,11.49,25.22,0,40.23,0,0,0.16,0,0.84,5.49,0.18,0,15.72,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0.14
