"Date","Apple","Samsung","Xiaomi","Unknown","Oppo","Vivo","Huawei","Realme","Motorola","Tecno","OnePlus","Infinix","Google","LG","Nokia","Itel","Honor","Lenovo","Sony","Asus","ZTE","BBK","Infinex","TCL","Vsmart","HTC","Alcatel","T-Mobile","Nothing","General Mobile","Lava","Reeder","Hisense","Jio","Blu","Casper","CAT","Meizu","Gionee","Micromax","Sharp","Other"
2023-04,30.61,26.05,11.68,3.2,6.35,5.09,4.11,3.68,2.21,1.03,1.18,0.97,0.73,0.62,0.45,0.26,0.12,0.29,0.24,0.18,0.1,0.07,0.07,0.05,0.05,0.06,0.06,0.04,0,0.05,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.2
2023-05,31.44,25.27,11.13,4.39,6.52,4.88,4.01,3.51,2.05,1.01,1.06,1.02,0.76,0.54,0.44,0.26,0.14,0.28,0.24,0.16,0.1,0.06,0.07,0.04,0.07,0.05,0.06,0.04,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.17
2023-06,28.44,24.59,11.05,6.74,6.95,5.39,4.07,3.78,2.01,0.99,1.12,1.06,0.89,0.49,0.42,0.26,0.2,0.26,0.23,0.15,0.08,0.07,0.06,0.04,0.11,0.05,0.05,0.06,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.15
2023-07,28.39,24.22,11.21,7.35,6.06,5.53,4,3.87,2.11,1.08,1.27,1.06,0.95,0.48,0.39,0.28,0.22,0.26,0.24,0.15,0.08,0.08,0.07,0.04,0.05,0.05,0.05,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.15
2023-08,28.53,24.16,11.09,7.74,5.85,5.37,4,3.77,2.12,1.17,1.29,1.1,0.95,0.47,0.4,0.3,0.22,0.26,0.24,0.14,0.08,0.07,0.07,0.04,0.05,0.05,0.04,0.06,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.14
2023-09,29.58,24.23,10.84,8.12,5.53,5.02,3.81,3.52,2.1,1.19,1.22,1.06,0.95,0.45,0.39,0.3,0.23,0.25,0.25,0.17,0.08,0.06,0.06,0.04,0.03,0.06,0.05,0.06,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.14
2023-10,29.65,24.69,10.99,7.11,5.52,4.93,3.6,3.48,2.17,1.33,1.22,1.2,1.14,0.44,0.38,0.37,0.27,0.25,0.26,0.18,0.08,0.06,0.06,0.05,0.04,0.06,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.14
2023-11,29.12,24.61,11.52,6.81,5.59,4.97,3.52,3.58,2.16,1.47,1.21,1.34,0.98,0.42,0.38,0.44,0.35,0.26,0.26,0.19,0.09,0.06,0.06,0.07,0.04,0.05,0.06,0.05,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14
2023-12,28.8,24.15,11.99,6.78,5.63,5.13,3.49,3.74,2.15,1.51,1.28,1.34,0.95,0.38,0.38,0.46,0.37,0.25,0.26,0.17,0.09,0.06,0.06,0.07,0.04,0.05,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13
2024-01,29.27,23.69,11.9,7.15,5.64,5.02,3.59,3.65,2.15,1.42,1.24,1.3,0.97,0.35,0.36,0.43,0.42,0.26,0.23,0.18,0.09,0.06,0.05,0.07,0.04,0.05,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12
2024-02,27.84,23.77,11.74,7.43,6.3,5.12,3.62,3.98,2.07,1.51,1.16,1.46,0.94,0.33,0.37,0.47,0.45,0.25,0.24,0.17,0.09,0.07,0.06,0.06,0.05,0.04,0.05,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2024-03,28.46,23.85,11.59,8.06,5.9,5.08,3.29,3.57,2.23,1.48,1.15,1.28,1.04,0.34,0.37,0.47,0.44,0.25,0.24,0.16,0.09,0.07,0.05,0.06,0.06,0.04,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2024-04,27.95,23.95,11.44,8.11,5.77,5,3.36,3.53,2.29,1.63,1.16,1.46,1.14,0.34,0.35,0.53,0.56,0.24,0.26,0.15,0.1,0.07,0.05,0.06,0.05,0.04,0.04,0.05,0.04,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12
